rl-master  | 2025-12-07 23:16:32,649 | INFO | Replication attempt 11 to http://secondary2:8001 for seq=1
rl-master  | 2025-12-07 23:16:32,656 | WARNING | Replication to http://secondary2:8001 failed for seq=1: HTTPConnectionPool(host='secondary2', port=8001): Max retries exceeded with url: /replicate (Caused by NameResolutionError("HTTPConnection(host='secondary2', port=8001): Failed to resolve 'secondary2' ([Errno -2] Name or service not known)"))
rl-master  | 2025-12-07 23:16:32,860 | INFO | Replication attempt 12 to http://secondary2:8001 for seq=1
rl-master  | 2025-12-07 23:16:32,870 | WARNING | Replication to http://secondary2:8001 failed for seq=1: HTTPConnectionPool(host='secondary2', port=8001): Max retries exceeded with url: /replicate (Caused by NameResolutionError("HTTPConnection(host='secondary2', port=8001): Failed to resolve 'secondary2' ([Errno -2] Name or service not known)"))
rl-master  | 2025-12-07 23:16:33,073 | INFO | Replication attempt 13 to http://secondary2:8001 for seq=1
rl-master  | 2025-12-07 23:16:33,083 | WARNING | Replication to http://secondary2:8001 failed for seq=1: HTTPConnectionPool(host='secondary2', port=8001): Max retries exceeded with url: /replicate (Caused by NameResolutionError("HTTPConnection(host='secondary2', port=8001): Failed to resolve 'secondary2' ([Errno -2] Name or service not known)"))
rl-master  | 2025-12-07 23:16:33,285 | INFO | Replication attempt 14 to http://secondary2:8001 for seq=1
rl-master  | 2025-12-07 23:16:33,292 | WARNING | Replication to http://secondary2:8001 failed for seq=1: HTTPConnectionPool(host='secondary2', port=8001): Max retries exceeded with url: /replicate (Caused by NameResolutionError("HTTPConnection(host='secondary2', port=8001): Failed to resolve 'secondary2' ([Errno -2] Name or service not known)"))
rl-master  | 2025-12-07 23:16:33,492 | INFO | Replication attempt 15 to http://secondary2:8001 for seq=1
rl-master  | 2025-12-07 23:16:33,496 | WARNING | Replication to http://secondary2:8001 failed for seq=1: HTTPConnectionPool(host='secondary2', port=8001): Max retries exceeded with url: /replicate (Caused by NameResolutionError("HTTPConnection(host='secondary2', port=8001): Failed to resolve 'secondary2' ([Errno -2] Name or service not known)"))
rl-master  | 2025-12-07 23:16:33,573 | INFO | 127.0.0.1 - - [07/Dec/2025 23:16:33] "GET /health HTTP/1.1" 200 -
rl-master  | 2025-12-07 23:16:33,702 | INFO | Replication attempt 16 to http://secondary2:8001 for seq=1
rl-master  | 2025-12-07 23:16:33,707 | WARNING | Replication to http://secondary2:8001 failed for seq=1: HTTPConnectionPool(host='secondary2', port=8001): Max retries exceeded with url: /replicate (Caused by NameResolutionError("HTTPConnection(host='secondary2', port=8001): Failed to resolve 'secondary2' ([Errno -2] Name or service not known)"))
rl-master  | 2025-12-07 23:16:33,910 | INFO | Replication attempt 17 to http://secondary2:8001 for seq=1
rl-master  | 2025-12-07 23:16:33,916 | WARNING | Replication to http://secondary2:8001 failed for seq=1: HTTPConnectionPool(host='secondary2', port=8001): Max retries exceeded with url: /replicate (Caused by NameResolutionError("HTTPConnection(host='secondary2', port=8001): Failed to resolve 'secondary2' ([Errno -2] Name or service not known)"))
rl-master  | 2025-12-07 23:16:33,977 | INFO | Appended locally seq=3 msg=Msg3 w=3
rl-master  | 2025-12-07 23:16:34,017 | INFO | Replication attempt 1 to http://secondary1:8001 for seq=3
rl-master  | 2025-12-07 23:16:34,118 | INFO | Replication attempt 18 to http://secondary2:8001 for seq=1
rl-master  | 2025-12-07 23:16:34,124 | WARNING | Replication to http://secondary2:8001 failed for seq=1: HTTPConnectionPool(host='secondary2', port=8001): Max retries exceeded with url: /replicate (Caused by NameResolutionError("HTTPConnection(host='secondary2', port=8001): Failed to resolve 'secondary2' ([Errno -2] Name or service not known)"))
rl-master  | 2025-12-07 23:16:34,330 | INFO | Replication attempt 19 to http://secondary2:8001 for seq=1
rl-master  | 2025-12-07 23:16:34,340 | WARNING | Replication to http://secondary2:8001 failed for seq=1: HTTPConnectionPool(host='secondary2', port=8001): Max retries exceeded with url: /replicate (Caused by NameResolutionError("HTTPConnection(host='secondary2', port=8001): Failed to resolve 'secondary2' ([Errno -2] Name or service not known)"))
rl-master  | 2025-12-07 23:16:34,543 | INFO | Replication attempt 20 to http://secondary2:8001 for seq=1
rl-master  | 2025-12-07 23:16:34,554 | WARNING | Replication to http://secondary2:8001 failed for seq=1: HTTPConnectionPool(host='secondary2', port=8001): Max retries exceeded with url: /replicate (Caused by NameResolutionError("HTTPConnection(host='secondary2', port=8001): Failed to resolve 'secondary2' ([Errno -2] Name or service not known)"))
rl-master  | 2025-12-07 23:16:34,760 | INFO | Replication attempt 21 to http://secondary2:8001 for seq=1
rl-master  | 2025-12-07 23:16:34,771 | WARNING | Replication to http://secondary2:8001 failed for seq=1: HTTPConnectionPool(host='secondary2', port=8001): Max retries exceeded with url: /replicate (Caused by NameResolutionError("HTTPConnection(host='secondary2', port=8001): Failed to resolve 'secondary2' ([Errno -2] Name or service not known)"))
rl-master  | 2025-12-07 23:16:34,973 | INFO | Replication attempt 22 to http://secondary2:8001 for seq=1
rl-master  | 2025-12-07 23:16:34,985 | WARNING | Replication to http://secondary2:8001 failed for seq=1: HTTPConnectionPool(host='secondary2', port=8001): Max retries exceeded with url: /replicate (Caused by NameResolutionError("HTTPConnection(host='secondary2', port=8001): Failed to resolve 'secondary2' ([Errno -2] Name or service not known)"))
rl-master  | 2025-12-07 23:16:35,190 | INFO | Replication attempt 23 to http://secondary2:8001 for seq=1
rl-master  | 2025-12-07 23:16:35,202 | WARNING | Replication to http://secondary2:8001 failed for seq=1: HTTPConnectionPool(host='secondary2', port=8001): Max retries exceeded with url: /replicate (Caused by NameResolutionError("HTTPConnection(host='secondary2', port=8001): Failed to resolve 'secondary2' ([Errno -2] Name or service not known)"))
rl-master  | 2025-12-07 23:16:35,403 | INFO | Replication attempt 24 to http://secondary2:8001 for seq=1
rl-master  | 2025-12-07 23:16:35,413 | WARNING | Replication to http://secondary2:8001 failed for seq=1: HTTPConnectionPool(host='secondary2', port=8001): Max retries exceeded with url: /replicate (Caused by NameResolutionError("HTTPConnection(host='secondary2', port=8001): Failed to resolve 'secondary2' ([Errno -2] Name or service not known)"))
rl-master  | 2025-12-07 23:16:35,616 | INFO | Replication attempt 25 to http://secondary2:8001 for seq=1
rl-master  | 2025-12-07 23:16:35,623 | WARNING | Replication to http://secondary2:8001 failed for seq=1: HTTPConnectionPool(host='secondary2', port=8001): Max retries exceeded with url: /replicate (Caused by NameResolutionError("HTTPConnection(host='secondary2', port=8001): Failed to resolve 'secondary2' ([Errno -2] Name or service not known)"))
rl-master  | 2025-12-07 23:16:35,825 | INFO | Replication attempt 26 to http://secondary2:8001 for seq=1
rl-master  | 2025-12-07 23:16:35,835 | WARNING | Replication to http://secondary2:8001 failed for seq=1: HTTPConnectionPool(host='secondary2', port=8001): Max retries exceeded with url: /replicate (Caused by NameResolutionError("HTTPConnection(host='secondary2', port=8001): Failed to resolve 'secondary2' ([Errno -2] Name or service not known)"))
rl-master  | 2025-12-07 23:16:36,040 | INFO | Replication attempt 27 to http://secondary2:8001 for seq=1
rl-master  | 2025-12-07 23:16:36,046 | WARNING | Replication to http://secondary2:8001 failed for seq=1: HTTPConnectionPool(host='secondary2', port=8001): Max retries exceeded with url: /replicate (Caused by NameResolutionError("HTTPConnection(host='secondary2', port=8001): Failed to resolve 'secondary2' ([Errno -2] Name or service not known)"))
rl-master  | 2025-12-07 23:16:36,251 | INFO | Replication attempt 28 to http://secondary2:8001 for seq=1
rl-master  | 2025-12-07 23:16:36,259 | WARNING | Replication to http://secondary2:8001 failed for seq=1: HTTPConnectionPool(host='secondary2', port=8001): Max retries exceeded with url: /replicate (Caused by NameResolutionError("HTTPConnection(host='secondary2', port=8001): Failed to resolve 'secondary2' ([Errno -2] Name or service not known)"))
rl-master  | 2025-12-07 23:16:36,464 | INFO | Replication attempt 29 to http://secondary2:8001 for seq=1
rl-master  | 2025-12-07 23:16:36,474 | WARNING | Replication to http://secondary2:8001 failed for seq=1: HTTPConnectionPool(host='secondary2', port=8001): Max retries exceeded with url: /replicate (Caused by NameResolutionError("HTTPConnection(host='secondary2', port=8001): Failed to resolve 'secondary2' ([Errno -2] Name or service not known)"))
rl-master  | 2025-12-07 23:16:36,680 | INFO | Replication attempt 30 to http://secondary2:8001 for seq=1
rl-master  | 2025-12-07 23:16:36,689 | WARNING | Replication to http://secondary2:8001 failed for seq=1: HTTPConnectionPool(host='secondary2', port=8001): Max retries exceeded with url: /replicate (Caused by NameResolutionError("HTTPConnection(host='secondary2', port=8001): Failed to resolve 'secondary2' ([Errno -2] Name or service not known)"))
rl-master  | 2025-12-07 23:16:36,895 | INFO | Replication attempt 31 to http://secondary2:8001 for seq=1
